query,query_class,query_image,descriptor,metric,total_relevant,search_time_s,P@20,R@20,AP@20,P@50,R@50,AP@50,P@100,R@100,AP@100,R-Precision,AP_full,mAP@20,mAP@50,mAP@100,mAP_full
R1,1,1_4_Kia_stinger_1990,bgr,chi_square,999,0.10944869999366347,0.1,0.002002002002002002,0.019642857142857142,0.08,0.004004004004004004,0.012346938775510203,0.14,0.014014014014014014,0.018213703329376624,0.11711711711711711,0.11235004934144173,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R2,1,1_2_Kia_sorento_1675,bgr,chi_square,999,0.06387109999195673,0.1,0.002002002002002002,0.012878787878787878,0.06,0.003003003003003003,0.006773136773136773,0.1,0.01001001001001001,0.010403816399963373,0.09509509509509509,0.09772144520651206,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R3,1,1_9_Kia_stonic_2677,bgr,chi_square,999,0.04945429999497719,0.2,0.004004004004004004,0.0636111111111111,0.16,0.008008008008008008,0.04210023262178434,0.14,0.014014014014014014,0.030776293916045794,0.11011011011011011,0.10394845707914908,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R4,3,3_1_Renault_Twingo_4487,bgr,chi_square,999,0.048884200004977174,0.0,0.0,0.0,0.12,0.006006006006006006,0.011459254307783719,0.09,0.009009009009009009,0.008427606951871657,0.0980980980980981,0.09506870442642353,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R5,3,3_0_Renault_grandscenic_4372,bgr,chi_square,999,0.050624399998923764,0.15,0.003003003003003003,0.08541666666666667,0.12,0.006006006006006006,0.04420199692780338,0.11,0.011011011011011011,0.028236717287513122,0.1011011011011011,0.10130604049338034,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R6,3,3_5_Renault_clio_5101,bgr,chi_square,999,0.04752730000473093,0.25,0.005005005005005005,0.09734477124183007,0.14,0.007007007007007007,0.044906162464985994,0.11,0.011011011011011011,0.027244361380916,0.0980980980980981,0.09857459579352942,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R7,5,5_0_Mercedes_ClasseCLS_7059,bgr,chi_square,999,0.04807780000555795,0.35,0.007007007007007007,0.1379563492063492,0.22,0.011011011011011011,0.07916804442602315,0.16,0.016016016016016016,0.049023131730521224,0.11211211211211211,0.10470081215878797,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R8,5,5_4_Mercedes_GLEcoupe_7428,bgr,chi_square,999,0.05551099999865983,0.0,0.0,0.0,0.08,0.004004004004004004,0.004866013071895425,0.11,0.011011011011011011,0.010237280137263242,0.10810810810810811,0.10320191467602263,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R9,5,5_8_Mercedes_CLA_7992,bgr,chi_square,999,0.055135099988547154,0.0,0.0,0.0,0.04,0.002002002002002002,0.0015592203898050973,0.04,0.004004004004004004,0.0018935931362310573,0.09109109109109109,0.10001088453086791,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R10,7,7_0_Peugeot_508break_9591,bgr,chi_square,999,0.04865919999429025,0.05,0.001001001001001001,0.0038461538461538464,0.12,0.006006006006006006,0.011903594456226034,0.08,0.008008008008008008,0.007873352930156525,0.09009009009009009,0.09443400238655313,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R11,7,7_3_Peugeot_Rifter_10091,bgr,chi_square,999,0.04787460000079591,0.25,0.005005005005005005,0.08036568694463431,0.18,0.009009009009009009,0.04807862611446038,0.18,0.018018018018018018,0.04024974577922901,0.11811811811811812,0.11048427535506637,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R12,7,7_6_Peugeot_3008_10530,bgr,chi_square,999,0.048629900004016235,0.05,0.001001001001001001,0.05,0.06,0.003003003003003003,0.022583333333333334,0.04,0.004004004004004004,0.011762254901960785,0.09109109109109109,0.09449362132951646,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R13,9,9_0_Audi_A6_12268,bgr,chi_square,999,0.05530350000481121,0.3,0.006006006006006006,0.11836309523809525,0.14,0.007007007007007007,0.05020238095238095,0.11,0.011011011011011011,0.03016570068468803,0.08708708708708708,0.09580272097847795,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R14,9,9_3_Audi_Q7_12722,bgr,chi_square,999,0.04793839999183547,0.15,0.003003003003003003,0.03575757575757575,0.18,0.009009009009009009,0.034412151090415566,0.15,0.015015015015015015,0.026746897395712673,0.09009009009009009,0.10022161245391471,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
R15,9,9_4_Audi_A1_12910,bgr,chi_square,999,0.04785040000570007,0.1,0.002002002002002002,0.00804093567251462,0.04,0.002002002002002002,0.0032163742690058477,0.04,0.004004004004004004,0.002525475152536564,0.07807807807807808,0.09149823786884725,0.04754826604710506,0.027851830664970014,0.020251995407599047,0.10025449160523271
