query,query_class,query_image,descriptor,metric,total_relevant,search_time_s,P@20,R@20,AP@20,P@50,R@50,AP@50,P@100,R@100,AP@100,R-Precision,AP_full,mAP@20,mAP@50,mAP@100,mAP_full
R1,1,1_4_Kia_stinger_1990,glcm,euclidean,999,0.0006320999964373186,0.1,0.002002002002002002,0.08333333333333333,0.16,0.008008008008008008,0.05013962607440869,0.14,0.014014014014014014,0.03473159144011922,0.08508508508508508,0.09392363582850301,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R2,1,1_2_Kia_sorento_1675,glcm,euclidean,999,0.0011871000024257228,0.25,0.005005005005005005,0.09873737373737375,0.14,0.007007007007007007,0.04663780663780663,0.14,0.014014014014014014,0.03379407025443946,0.11511511511511512,0.11029141037199536,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R3,1,1_9_Kia_stonic_2677,glcm,euclidean,999,0.0005791000003227964,0.15,0.003003003003003003,0.03958333333333333,0.1,0.005005005005005005,0.020993589743589745,0.11,0.011011011011011011,0.016070586271478778,0.11911911911911911,0.10620197429084871,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R4,3,3_1_Renault_Twingo_4487,glcm,euclidean,999,0.0005411000020103529,0.05,0.001001001001001001,0.005555555555555555,0.04,0.002002002002002002,0.0033986928104575167,0.04,0.004004004004004004,0.0025835672161716016,0.08808808808808809,0.0899439526167901,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R5,3,3_0_Renault_grandscenic_4372,glcm,euclidean,999,0.0005241000035312027,0.2,0.004004004004004004,0.12403846153846154,0.14,0.007007007007007007,0.05922322775263951,0.09,0.009009009009009009,0.03223233586413035,0.0980980980980981,0.0969386935498467,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R6,3,3_5_Renault_clio_5101,glcm,euclidean,999,0.0006228999991435558,0.1,0.002002002002002002,0.010818713450292398,0.06,0.003003003003003003,0.007054758107389686,0.08,0.008008008008008008,0.007265936123752306,0.08708708708708708,0.09548594834296247,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R7,5,5_0_Mercedes_ClasseCLS_7059,glcm,euclidean,999,0.0005769999988842756,0.05,0.001001001001001001,0.003125,0.1,0.005005005005005005,0.008251568382934843,0.1,0.01001001001001001,0.010004086281534217,0.08608608608608609,0.09445061737304335,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R8,5,5_4_Mercedes_GLEcoupe_7428,glcm,euclidean,999,0.0005382999952416867,0.1,0.002002002002002002,0.022549019607843133,0.06,0.003003003003003003,0.010414956680346556,0.12,0.012012012012012012,0.014095264573989616,0.09109109109109109,0.10069885473517479,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R9,5,5_8_Mercedes_CLA_7992,glcm,euclidean,999,0.0005143999878782779,0.15,0.003003003003003003,0.026055194805194803,0.12,0.006006006006006006,0.021653679653679654,0.12,0.012012012012012012,0.018310399632057096,0.1111111111111111,0.10209110945675626,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R10,7,7_0_Peugeot_508break_9591,glcm,euclidean,999,0.000569799987715669,0.05,0.001001001001001001,0.00625,0.06,0.003003003003003003,0.005545977011494253,0.05,0.005005005005005005,0.0038560314790340024,0.07407407407407407,0.08142015351555312,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R11,7,7_3_Peugeot_Rifter_10091,glcm,euclidean,999,0.0005645999917760491,0.15,0.003003003003003003,0.06904761904761904,0.14,0.007007007007007007,0.04161832950963386,0.14,0.014014014014014014,0.03204378224951328,0.12812812812812813,0.10712644684534306,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R12,7,7_6_Peugeot_3008_10530,glcm,euclidean,999,0.0005114000086905435,0.25,0.005005005005005005,0.09184253246753246,0.16,0.008008008008008008,0.047804660045836514,0.21,0.021021021021021023,0.04923380301517457,0.15415415415415415,0.12705257551294774,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R13,9,9_0_Audi_A6_12268,glcm,euclidean,999,0.0006348999886540696,0.2,0.004004004004004004,0.032275641025641025,0.16,0.008008008008008008,0.029479082321187587,0.16,0.016016016016016016,0.02791019441596391,0.0990990990990991,0.10038093098945425,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R14,9,9_3_Audi_Q7_12722,glcm,euclidean,999,0.0006003000016789883,0.2,0.004004004004004004,0.08333333333333334,0.16,0.008008008008008008,0.04800755248335894,0.16,0.016016016016016016,0.03575294211612404,0.12612612612612611,0.11592781015253753,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
R15,9,9_4_Audi_A1_12910,glcm,euclidean,999,0.000639899997622706,0.2,0.004004004004004004,0.05149572649572649,0.18,0.009009009009009009,0.038421812418085705,0.16,0.016016016016016016,0.030958911763476572,0.12612612612612611,0.11489245840140999,0.04986938918208269,0.02924302130885664,0.0232562335131306,0.10245510479887776
