query,query_class,query_image,descriptor,metric,total_relevant,search_time_s,P@20,R@20,AP@20,P@50,R@50,AP@50,P@100,R@100,AP@100,R-Precision,AP_full,mAP@20,mAP@50,mAP@100,mAP_full
R1,1,1_4_Kia_stinger_1990,hog,euclidean,999,0.23966330000257585,0.05,0.001001001001001001,0.016666666666666666,0.08,0.004004004004004004,0.011987841945288753,0.1,0.01001001001001001,0.012727751743845668,0.12512512512512514,0.11007061957198443,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R2,1,1_2_Kia_sorento_1675,hog,euclidean,999,0.3478241999982856,0.2,0.004004004004004004,0.11690476190476189,0.18,0.009009009009009009,0.06891166321601104,0.14,0.014014014014014014,0.042012473521063055,0.11211211211211211,0.10860984289159548,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R3,1,1_9_Kia_stonic_2677,hog,euclidean,999,0.3382687000121223,0.2,0.004004004004004004,0.05916666666666666,0.18,0.009009009009009009,0.04321038019951063,0.17,0.01701701701701702,0.03654323543453147,0.11411411411411411,0.10815251195126159,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R4,3,3_1_Renault_Twingo_4487,hog,euclidean,999,0.21556799999962095,0.3,0.006006006006006006,0.2201470588235294,0.22,0.011011011011011011,0.1186559473613182,0.21,0.021021021021021023,0.08027883719579186,0.10510510510510511,0.11351818130032641,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R5,3,3_0_Renault_grandscenic_4372,hog,euclidean,999,0.18998690000444185,0.15,0.003003003003003003,0.03,0.08,0.004004004004004004,0.014962962962962964,0.09,0.009009009009009009,0.012053369382677254,0.08708708708708708,0.0900122329527355,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R6,3,3_5_Renault_clio_5101,hog,euclidean,999,0.20206700000562705,0.1,0.002002002002002002,0.008846153846153847,0.1,0.005005005005005005,0.01001906228940021,0.12,0.012012012012012012,0.012977598788450022,0.13713713713713713,0.10743758229860487,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R7,5,5_0_Mercedes_ClasseCLS_7059,hog,euclidean,999,0.1836401000036858,0.15,0.003003003003003003,0.056666666666666664,0.1,0.005005005005005005,0.027458632233381155,0.08,0.008008008008008008,0.01653951545630168,0.08608608608608609,0.09932296017869681,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R8,5,5_4_Mercedes_GLEcoupe_7428,hog,euclidean,999,0.20469800000137184,0.05,0.001001001001001001,0.00625,0.12,0.006006006006006006,0.01259130635566165,0.07,0.007007007007007007,0.007091107723285369,0.0890890890890891,0.09707430168263675,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R9,5,5_8_Mercedes_CLA_7992,hog,euclidean,999,0.1983856000006199,0.2,0.004004004004004004,0.06508699633699634,0.18,0.009009009009009009,0.042621762061854224,0.12,0.012012012012012012,0.026133270024047812,0.0990990990990991,0.1001661754057747,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R10,7,7_0_Peugeot_508break_9591,hog,euclidean,999,0.18801929999608546,0.0,0.0,0.0,0.04,0.002002002002002002,0.0016138763197586724,0.08,0.008008008008008008,0.005026205021129062,0.07507507507507508,0.08934438364978063,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R11,7,7_3_Peugeot_Rifter_10091,hog,euclidean,999,0.23254509999242146,0.15,0.003003003003003003,0.04541666666666667,0.06,0.003003003003003003,0.018166666666666668,0.08,0.008008008008008008,0.013149271404832498,0.07907907907907907,0.08854790054657168,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R12,7,7_6_Peugeot_3008_10530,hog,euclidean,999,0.19867540000996087,0.2,0.004004004004004004,0.11261904761904762,0.18,0.009009009009009009,0.0653713949128432,0.17,0.01701701701701702,0.04770444213202991,0.10710710710710711,0.10599955072956543,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R13,9,9_0_Audi_A6_12268,hog,euclidean,999,0.18725479999557137,0.1,0.002002002002002002,0.019642857142857142,0.12,0.006006006006006006,0.01754177109440267,0.17,0.01701701701701702,0.025977620480438595,0.13413413413413414,0.11382744554359718,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R14,9,9_3_Audi_Q7_12722,hog,euclidean,999,0.22148580000794027,0.2,0.004004004004004004,0.061016511867905056,0.18,0.009009009009009009,0.04186300449912144,0.13,0.013013013013013013,0.027018581539081064,0.13713713713713713,0.11836298504070968,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
R15,9,9_4_Audi_A1_12910,hog,euclidean,999,0.18768390000332147,0.1,0.002002002002002002,0.012142857142857143,0.14,0.007007007007007007,0.020585153391187872,0.13,0.013013013013013013,0.018973266471282002,0.12012012012012012,0.11483473638688566,0.055371527423385004,0.03437076170062463,0.025613769754585822,0.10435209400871512
