query,query_class,query_image,descriptor,metric,total_relevant,search_time_s,P@20,R@20,AP@20,P@50,R@50,AP@50,P@100,R@100,AP@100,R-Precision,AP_full,mAP@20,mAP@50,mAP@100,mAP_full
R1,1,1_4_Kia_stinger_1990,hsv,chi_square,999,0.03620780000346713,0.35,0.007007007007007007,0.14589020456667517,0.26,0.013013013013013013,0.0932420229626112,0.22,0.022022022022022022,0.06910207067299327,0.14514514514514515,0.12790598007728296,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R2,1,1_2_Kia_sorento_1675,hsv,chi_square,999,0.04301409999607131,0.15,0.003003003003003003,0.1375,0.08,0.004004004004004004,0.05833333333333333,0.11,0.011011011011011011,0.03648147588201975,0.0920920920920921,0.09334789765144084,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R3,1,1_9_Kia_stonic_2677,hsv,chi_square,999,0.0393774999974994,0.2,0.004004004004004004,0.13357142857142856,0.12,0.006006006006006006,0.06042300556586271,0.15,0.015015015015015015,0.04366603170730391,0.11911911911911911,0.1097154149088325,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R4,3,3_1_Renault_Twingo_4487,hsv,chi_square,999,0.03519070000038482,0.25,0.005005005005005005,0.055321067821067826,0.34,0.01701701701701702,0.10254297219317104,0.26,0.026026026026026026,0.08031253406760586,0.10710710710710711,0.10876839519155157,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R5,3,3_0_Renault_grandscenic_4372,hsv,chi_square,999,0.0342668999946909,0.15,0.003003003003003003,0.1075,0.16,0.008008008008008008,0.05873681468634885,0.14,0.014014014014014014,0.03879215154172562,0.11811811811811812,0.10739933773325915,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R6,3,3_5_Renault_clio_5101,hsv,chi_square,999,0.035132699995301664,0.2,0.004004004004004004,0.05759803921568627,0.14,0.007007007007007007,0.03263960178666061,0.17,0.01701701701701702,0.031089695820040605,0.10810810810810811,0.10320443025650396,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R7,5,5_0_Mercedes_ClasseCLS_7059,hsv,chi_square,999,0.044043699992471375,0.15,0.003003003003003003,0.022976190476190476,0.18,0.009009009009009009,0.03352203581858754,0.16,0.016016016016016016,0.02849662388262532,0.12712712712712712,0.11372701297873601,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R8,5,5_4_Mercedes_GLEcoupe_7428,hsv,chi_square,999,0.034284900000784546,0.15,0.003003003003003003,0.030394736842105263,0.16,0.008008008008008008,0.03356077759498443,0.14,0.014014014014014014,0.02666146985013838,0.1091091091091091,0.1065571577216901,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R9,5,5_8_Mercedes_CLA_7992,hsv,chi_square,999,0.03604990000894759,0.15,0.003003003003003003,0.027067307692307696,0.1,0.005005005005005005,0.015953868203868203,0.09,0.009009009009009009,0.012466708769853913,0.09309309309309309,0.09896886110999853,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R10,7,7_0_Peugeot_508break_9591,hsv,chi_square,999,0.0338670000055572,0.0,0.0,0.0,0.06,0.003003003003003003,0.0029010638297872343,0.06,0.006006006006006006,0.003957506421868124,0.06406406406406406,0.08592817554759805,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R11,7,7_3_Peugeot_Rifter_10091,hsv,chi_square,999,0.033855199988465756,0.25,0.005005005005005005,0.06593137254901961,0.2,0.01001001001001001,0.049872427231762266,0.21,0.021021021021021023,0.05012731780087537,0.12712712712712712,0.11171587431876158,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R12,7,7_6_Peugeot_3008_10530,hsv,chi_square,999,0.03614930000912864,0.05,0.001001001001001001,0.025,0.1,0.005005005005005005,0.02104327345706656,0.1,0.01001001001001001,0.015486908421365212,0.08108108108108109,0.0908840850685213,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R13,9,9_0_Audi_A6_12268,hsv,chi_square,999,0.03429370000958443,0.2,0.004004004004004004,0.07847985347985348,0.1,0.005005005005005005,0.036153846153846154,0.12,0.012012012012012012,0.026237347273265543,0.1041041041041041,0.10048231845157637,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R14,9,9_3_Audi_Q7_12722,hsv,chi_square,999,0.0459168000088539,0.1,0.002002002002002002,0.010555555555555556,0.06,0.003003003003003003,0.005936507936507937,0.07,0.007007007007007007,0.005445753213195074,0.08308308308308308,0.09689267726829369,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
R15,9,9_4_Audi_A1_12910,hsv,chi_square,999,0.033726699999533594,0.0,0.0,0.0,0.08,0.004004004004004004,0.004947485080988917,0.11,0.011011011011011011,0.009519143066624386,0.09109109109109109,0.09634477623358019,0.05985238378465932,0.04065393572235913,0.03185618255943336,0.10345615963450847
