query,query_class,query_image,descriptor,metric,total_relevant,search_time_s,P@20,R@20,AP@20,P@50,R@50,AP@50,P@100,R@100,AP@100,R-Precision,AP_full,mAP@20,mAP@50,mAP@100,mAP_full
R1,1,1_4_Kia_stinger_1990,lbp,chi_square,999,0.015979399991920218,0.1,0.002002002002002002,0.013247863247863248,0.14,0.007007007007007007,0.0192749517507582,0.15,0.015015015015015015,0.02143360264655395,0.09009009009009009,0.09397001974960309,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R2,1,1_2_Kia_sorento_1675,lbp,chi_square,999,0.02695030000177212,0.4,0.008008008008008008,0.3376515151515152,0.3,0.015015015015015015,0.1917783906654874,0.21,0.021021021021021023,0.1104038329961228,0.13013013013013014,0.11916712367342912,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R3,1,1_9_Kia_stonic_2677,lbp,chi_square,999,0.01919939999061171,0.1,0.002002002002002002,0.021111111111111112,0.12,0.006006006006006006,0.01789342403628118,0.12,0.012012012012012012,0.017228759230018962,0.09509509509509509,0.10092905192409439,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R4,3,3_1_Renault_Twingo_4487,lbp,chi_square,999,0.017181100003654137,0.1,0.002002002002002002,0.017499999999999998,0.1,0.005005005005005005,0.014317043740573153,0.12,0.012012012012012012,0.016491110575494943,0.10710710710710711,0.10391379092394248,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R5,3,3_0_Renault_grandscenic_4372,lbp,chi_square,999,0.01585959999647457,0.1,0.002002002002002002,0.05625,0.06,0.003003003003003003,0.025,0.07,0.007007007007007007,0.015240839767435748,0.07707707707707707,0.08827717872942169,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R6,3,3_5_Renault_clio_5101,lbp,chi_square,999,0.018589999992400408,0.15,0.003003003003003003,0.052380952380952375,0.2,0.01001001001001001,0.046884881960105027,0.15,0.015015015015015015,0.031805544555601695,0.1001001001001001,0.10047791085962238,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R7,5,5_0_Mercedes_ClasseCLS_7059,lbp,chi_square,999,0.016188399997190572,0.05,0.001001001001001001,0.0035714285714285713,0.06,0.003003003003003003,0.00395516717325228,0.08,0.008008008008008008,0.006073951271229119,0.0890890890890891,0.09811723601736072,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R8,5,5_4_Mercedes_GLEcoupe_7428,lbp,chi_square,999,0.01649320000433363,0.1,0.002002002002002002,0.013247863247863248,0.06,0.003003003003003003,0.0071173271173271165,0.07,0.007007007007007007,0.006424526225252169,0.08508508508508508,0.09695983144077634,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R9,5,5_8_Mercedes_CLA_7992,lbp,chi_square,999,0.016192600000067614,0.0,0.0,0.0,0.02,0.001001001001001001,0.0009523809523809524,0.05,0.005005005005005005,0.002305826172466544,0.07807807807807808,0.09520868778642312,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R10,7,7_0_Peugeot_508break_9591,lbp,chi_square,999,0.015794700011610985,0.0,0.0,0.0,0.04,0.002002002002002002,0.0014413265306122446,0.08,0.008008008008008008,0.005084150740571542,0.07607607607607608,0.09060407500974997,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R11,7,7_3_Peugeot_Rifter_10091,lbp,chi_square,999,0.015738199988845736,0.1,0.002002002002002002,0.055263157894736833,0.12,0.006006006006006006,0.03382420255183413,0.16,0.016016016016016016,0.03100833194167615,0.12012012012012012,0.11121665126803157,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R12,7,7_6_Peugeot_3008_10530,lbp,chi_square,999,0.016489200002979487,0.3,0.006006006006006006,0.20103896103896104,0.22,0.011011011011011011,0.10669790624940557,0.15,0.015015015015015015,0.06034936904864811,0.10510510510510511,0.10810750223936538,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R13,9,9_0_Audi_A6_12268,lbp,chi_square,999,0.01819650000834372,0.05,0.001001001001001001,0.004166666666666667,0.02,0.001001001001001001,0.0016666666666666666,0.03,0.003003003003003003,0.0015254901960784313,0.09509509509509509,0.09612026004518821,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R14,9,9_3_Audi_Q7_12722,lbp,chi_square,999,0.0184949999966193,0.05,0.001001001001001001,0.0038461538461538464,0.04,0.002002002002002002,0.0025641025641025637,0.03,0.003003003003003003,0.0018177655677655677,0.08608608608608609,0.09990431635920087,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
R15,9,9_4_Audi_A1_12910,lbp,chi_square,999,0.01568369999586139,0.05,0.001001001001001001,0.0125,0.04,0.002002002002002002,0.0066,0.06,0.006006006006006006,0.005919215032195235,0.11611611611611612,0.11596545185962984,0.05278504487715014,0.0319978514639191,0.022207487731140733,0.10126260585905594
