query,query_class,query_image,descriptor,metric,total_relevant,search_time_s,P@20,R@20,AP@20,P@50,R@50,AP@50,P@100,R@100,AP@100,R-Precision,AP_full,mAP@20,mAP@50,mAP@100,mAP_full
R1,1,1_4_Kia_stinger_1990,moments,euclidean,999,0.0005459999956656247,0.15,0.003003003003003003,0.04541666666666667,0.06,0.003003003003003003,0.018166666666666668,0.06,0.006006006006006006,0.011026212920360602,0.08608608608608609,0.09758410400470319,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R2,1,1_2_Kia_sorento_1675,moments,euclidean,999,0.0005252000119071454,0.15,0.003003003003003003,0.021985645933014355,0.1,0.005005005005005005,0.01379425837320574,0.1,0.01001001001001001,0.012305098604730568,0.07907907907907907,0.09771995442545497,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R3,1,1_9_Kia_stonic_2677,moments,euclidean,999,0.0005811000009998679,0.1,0.002002002002002002,0.0076315789473684215,0.08,0.004004004004004004,0.006670517757809158,0.07,0.007007007007007007,0.0053886310386597166,0.11511511511511512,0.1019158562110512,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R4,3,3_1_Renault_Twingo_4487,moments,euclidean,999,0.0005257000011624768,0.05,0.001001001001001001,0.004545454545454545,0.08,0.004004004004004004,0.006550914550914551,0.08,0.008008008008008008,0.006590076795212207,0.09309309309309309,0.096195899945206,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R5,3,3_0_Renault_grandscenic_4372,moments,euclidean,999,0.0005730999982915819,0.2,0.004004004004004004,0.04861111111111111,0.14,0.007007007007007007,0.03145539135194308,0.16,0.016016016016016016,0.03212774658027302,0.1031031031031031,0.10277631657973732,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R6,3,3_5_Renault_clio_5101,moments,euclidean,999,0.0005240000027697533,0.05,0.001001001001001001,0.01,0.08,0.004004004004004004,0.008948263118994826,0.06,0.006006006006006006,0.006254523716360158,0.0940940940940941,0.09714837989827799,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R7,5,5_0_Mercedes_ClasseCLS_7059,moments,euclidean,999,0.000564200003282167,0.15,0.003003003003003003,0.02340686274509804,0.1,0.005005005005005005,0.015543708670307138,0.08,0.008008008008008008,0.010384760077975041,0.09009009009009009,0.09507014206560724,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R8,5,5_4_Mercedes_GLEcoupe_7428,moments,euclidean,999,0.000601400010054931,0.2,0.004004004004004004,0.09613636363636364,0.14,0.007007007007007007,0.049473339283437466,0.12,0.012012012012012012,0.03039314006385013,0.12112112112112113,0.1159425534822878,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R9,5,5_8_Mercedes_CLA_7992,moments,euclidean,999,0.0005829000001540408,0.05,0.001001001001001001,0.008333333333333333,0.1,0.005005005005005005,0.010741931555230788,0.09,0.009009009009009009,0.009833606118304514,0.10710710710710711,0.1034526606752636,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R10,7,7_0_Peugeot_508break_9591,moments,euclidean,999,0.0005813000025227666,0.0,0.0,0.0,0.04,0.002002002002002002,0.0017424242424242426,0.05,0.005005005005005005,0.002220035711415022,0.08008008008008008,0.09384568762398211,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R11,7,7_3_Peugeot_Rifter_10091,moments,euclidean,999,0.0005187000060686842,0.1,0.002002002002002002,0.014646464646464647,0.1,0.005005005005005005,0.014196806777451937,0.08,0.008008008008008008,0.010058289031538442,0.1021021021021021,0.09841728242135,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R12,7,7_6_Peugeot_3008_10530,moments,euclidean,999,0.0005633999971905723,0.1,0.002002002002002002,0.021929824561403508,0.08,0.004004004004004004,0.012279582885785893,0.13,0.013013013013013013,0.0165930060233801,0.0990990990990991,0.09963824135527323,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R13,9,9_0_Audi_A6_12268,moments,euclidean,999,0.0005979999987175688,0.05,0.001001001001001001,0.0125,0.1,0.005005005005005005,0.012989457729723897,0.08,0.008008008008008008,0.008893358013491094,0.11211211211211211,0.10028126151924054,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R14,9,9_3_Audi_Q7_12722,moments,euclidean,999,0.000557100007426925,0.1,0.002002002002002002,0.013392857142857142,0.16,0.008008008008008008,0.02351384784126522,0.13,0.013013013013013013,0.019114798090065787,0.1001001001001001,0.09529174967611209,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
R15,9,9_4_Audi_A1_12910,moments,euclidean,999,0.0006121999904280528,0.1,0.002002002002002002,0.009821428571428571,0.1,0.005005005005005005,0.01158882783882784,0.13,0.013013013013013013,0.016016317241384005,0.11811811811811812,0.10433638541672079,0.022557172789370937,0.015843729242932567,0.013146640001800025,0.09997443168668455
