query,query_class,query_image,descriptor,metric,total_relevant,search_time_s,P@20,R@20,AP@20,P@50,R@50,AP@50,P@100,R@100,AP@100,R-Precision,AP_full,mAP@20,mAP@50,mAP@100,mAP_full
R1,1,1_4_Kia_stinger_1990,orb,euclidean,999,0.0021631999989040196,0.15,0.003003003003003003,0.025318979266347685,0.2,0.01001001001001001,0.04084883049190829,0.17,0.01701701701701702,0.033925375291166765,0.1001001001001001,0.10500380113538246,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R2,1,1_2_Kia_sorento_1675,orb,euclidean,999,0.002357799996389076,0.15,0.003003003003003003,0.02185897435897436,0.14,0.007007007007007007,0.02161655722326454,0.14,0.014014014014014014,0.020564583951954055,0.11211211211211211,0.10750307394046614,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R3,1,1_9_Kia_stonic_2677,orb,euclidean,999,0.0022656999935861677,0.1,0.002002002002002002,0.024285714285714285,0.1,0.005005005005005005,0.015670096529337655,0.1,0.01001001001001001,0.013299806501968244,0.09509509509509509,0.10038184438760799,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R4,3,3_1_Renault_Twingo_4487,orb,euclidean,999,0.0019118000054731965,0.25,0.005005005005005005,0.05301470588235295,0.22,0.011011011011011011,0.049462835589204765,0.17,0.01701701701701702,0.03614413497569216,0.12212212212212212,0.10487142192183511,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R5,3,3_0_Renault_grandscenic_4372,orb,euclidean,999,0.0017971000052057207,0.35,0.007007007007007007,0.14588417065390752,0.26,0.013013013013013013,0.09546399616093858,0.14,0.014014014014014014,0.049760983587715656,0.1061061061061061,0.1057571599632645,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R6,3,3_5_Renault_clio_5101,orb,euclidean,999,0.0017788999975891784,0.15,0.003003003003003003,0.021666666666666667,0.12,0.006006006006006006,0.01716783543712015,0.12,0.012012012012012012,0.01662993975098497,0.11511511511511512,0.09836459296342034,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R7,5,5_0_Mercedes_ClasseCLS_7059,orb,euclidean,999,0.0017771000129869208,0.3,0.006006006006006006,0.08250891265597149,0.2,0.01001001001001001,0.05162918091451216,0.15,0.015015015015015015,0.03451891245105176,0.10710710710710711,0.10290684960156332,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R8,5,5_4_Mercedes_GLEcoupe_7428,orb,euclidean,999,0.0018328000005567446,0.05,0.001001001001001001,0.0025,0.04,0.002002002002002002,0.002212121212121212,0.04,0.004004004004004004,0.0022327845196697654,0.0920920920920921,0.09535230847995887,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R9,5,5_8_Mercedes_CLA_7992,orb,euclidean,999,0.001793500006897375,0.15,0.003003003003003003,0.01838235294117647,0.16,0.008008008008008008,0.02497266511410624,0.14,0.014014014014014014,0.02240991832478344,0.11611611611611612,0.10798745095943495,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R10,7,7_0_Peugeot_508break_9591,orb,euclidean,999,0.0019108999986201525,0.15,0.003003003003003003,0.03361111111111111,0.12,0.006006006006006006,0.022208547008547005,0.1,0.01001001001001001,0.015922979253303434,0.0970970970970971,0.09935845976915043,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R11,7,7_3_Peugeot_Rifter_10091,orb,euclidean,999,0.001988600008189678,0.4,0.008008008008008008,0.1758041958041958,0.18,0.009009009009009009,0.07850349650349651,0.15,0.015015015015015015,0.050421994346232006,0.12812812812812813,0.11340226731091597,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R12,7,7_6_Peugeot_3008_10530,orb,euclidean,999,0.0017447999998694286,0.1,0.002002002002002002,0.014583333333333332,0.14,0.007007007007007007,0.020141263890387315,0.13,0.013013013013013013,0.01916802712105524,0.11911911911911911,0.09943571801044288,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R13,9,9_0_Audi_A6_12268,orb,euclidean,999,0.0019789999932982028,0.15,0.003003003003003003,0.06993464052287582,0.14,0.007007007007007007,0.041003105054338455,0.1,0.01001001001001001,0.02384442920109421,0.12112112112112113,0.10804544388378066,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R14,9,9_3_Audi_Q7_12722,orb,euclidean,999,0.0017500999965704978,0.1,0.002002002002002002,0.0225,0.1,0.005005005005005005,0.017249094359151285,0.12,0.012012012012012012,0.01718893189649569,0.10510510510510511,0.10630830529073186,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
R15,9,9_4_Audi_A1_12910,orb,euclidean,999,0.0019460000039543957,0.1,0.002002002002002002,0.03611111111111111,0.1,0.005005005005005005,0.02292270531400966,0.08,0.008008008008008008,0.015135040080692254,0.0940940940940941,0.09934286244846964,0.0498643245729159,0.03473815538682959,0.02474452275025731,0.10360143733776167
