query,query_class,query_image,descriptor,metric,total_relevant,search_time_s,P@20,R@20,AP@20,P@50,R@50,AP@50,P@100,R@100,AP@100,R-Precision,AP_full,mAP@20,mAP@50,mAP@100,mAP_full
R1,1,1_4_Kia_stinger_1990,resnet50,cosine,999,0.114253000007011,0.25,0.005005005005005005,0.09274159663865547,0.18,0.009009009009009009,0.05323638224520577,0.23,0.023023023023023025,0.05973619165823164,0.13413413413413414,0.12335714221524656,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R2,1,1_2_Kia_sorento_1675,resnet50,cosine,999,0.07399960000475403,0.3,0.006006006006006006,0.25150375939849623,0.2,0.01001001001001001,0.12323317572829211,0.15,0.015015015015015015,0.07032387599827589,0.11811811811811812,0.11965355971258439,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R3,1,1_9_Kia_stonic_2677,resnet50,cosine,999,0.07888689999526832,0.1,0.002002002002002002,0.058333333333333334,0.08,0.004004004004004004,0.02776273372018053,0.12,0.012012012012012012,0.022470851747827925,0.14014014014014015,0.11964870611379012,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R4,3,3_1_Renault_Twingo_4487,resnet50,cosine,999,0.04993629999808036,0.15,0.003003003003003003,0.08249999999999999,0.12,0.006006006006006006,0.04237554858934169,0.12,0.012012012012012012,0.028630050963354046,0.13313313313313313,0.11878242904528362,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R5,3,3_0_Renault_grandscenic_4372,resnet50,cosine,999,0.04980290000094101,0.25,0.005005005005005005,0.14172932330827065,0.22,0.011011011011011011,0.08445347551362588,0.2,0.02002002002002002,0.06074643448179393,0.13513513513513514,0.11919684530835772,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R6,3,3_5_Renault_clio_5101,resnet50,cosine,999,0.053827399999136105,0.05,0.001001001001001001,0.025,0.06,0.003003003003003003,0.012516469038208166,0.1,0.01001001001001001,0.012743469270179894,0.11911911911911911,0.10983537966974559,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R7,5,5_0_Mercedes_ClasseCLS_7059,resnet50,cosine,999,0.04990509999333881,0.15,0.003003003003003003,0.079375,0.18,0.009009009009009009,0.05701083638583638,0.18,0.018018018018018018,0.04375597122817461,0.11511511511511512,0.10840189144832134,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R8,5,5_4_Mercedes_GLEcoupe_7428,resnet50,cosine,999,0.05054119999113027,0.1,0.002002002002002002,0.039285714285714285,0.16,0.008008008008008008,0.03565289806669117,0.1,0.01001001001001001,0.020004080612292953,0.08508508508508508,0.09954759933178464,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R9,5,5_8_Mercedes_CLA_7992,resnet50,cosine,999,0.051127400001860224,0.1,0.002002002002002002,0.023333333333333334,0.14,0.007007007007007007,0.021574263417741678,0.14,0.014014014014014014,0.021275651561116812,0.12812812812812813,0.1140841127013397,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R10,7,7_0_Peugeot_508break_9591,resnet50,cosine,999,0.049162499999511056,0.0,0.0,0.0,0.06,0.003003003003003003,0.0032953667953667955,0.07,0.007007007007007007,0.004722403213435682,0.1111111111111111,0.10246835946888425,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R11,7,7_3_Peugeot_Rifter_10091,resnet50,cosine,999,0.05024670000420883,0.65,0.013013013013013013,0.506389896867838,0.46,0.023023023023023025,0.30901662856531265,0.42,0.042042042042042045,0.23502081354819118,0.14814814814814814,0.14175732825137072,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R12,7,7_6_Peugeot_3008_10530,resnet50,cosine,999,0.05014880000089761,0.3,0.006006006006006006,0.2045238095238095,0.24,0.012012012012012012,0.11474624001647443,0.22,0.022022022022022022,0.08298900494850944,0.14914914914914915,0.1261646701471497,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R13,9,9_0_Audi_A6_12268,resnet50,cosine,999,0.049658899995847605,0.1,0.002002002002002002,0.008680555555555556,0.12,0.006006006006006006,0.01608213575285186,0.19,0.01901901901901902,0.029388306813361596,0.14514514514514515,0.12493004012496384,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R14,9,9_3_Audi_Q7_12722,resnet50,cosine,999,0.057664200008730404,0.35,0.007007007007007007,0.19333364004416637,0.32,0.016016016016016016,0.1455830713656702,0.28,0.028028028028028028,0.1084384983884584,0.15515515515515516,0.13900530027556118,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
R15,9,9_4_Audi_A1_12910,resnet50,cosine,999,0.049572299991268665,0.0,0.0,0.0,0.04,0.002002002002002002,0.0013333333333333333,0.06,0.006006006006006006,0.00309237467132204,0.0990990990990991,0.09737355826379837,0.11378199748594485,0.06985817056894218,0.053555865273635074,0.11761379480521211
