query,query_class,query_image,descriptor,metric,total_relevant,search_time_s,P@20,R@20,AP@20,P@50,R@50,AP@50,P@100,R@100,AP@100,R-Precision,AP_full,mAP@20,mAP@50,mAP@100,mAP_full
R1,1,1_4_Kia_stinger_1990,sift,euclidean,999,0.0075554999930318445,0.05,0.001001001001001001,0.003125,0.12,0.006006006006006006,0.011684513066335453,0.13,0.013013013013013013,0.01576828429569432,0.10510510510510511,0.10766191276520824,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R2,1,1_2_Kia_sorento_1675,sift,euclidean,999,0.00698730000294745,0.2,0.004004004004004004,0.0425186741363212,0.18,0.009009009009009009,0.042295300342359156,0.13,0.013013013013013013,0.027899435325947967,0.1041041041041041,0.1050771995987145,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R3,1,1_9_Kia_stonic_2677,sift,euclidean,999,0.008110500013572164,0.05,0.001001001001001001,0.05,0.08,0.004004004004004004,0.024614202331070572,0.06,0.006006006006006006,0.013995412853846973,0.09309309309309309,0.10028568130298815,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R4,3,3_1_Renault_Twingo_4487,sift,euclidean,999,0.007032700013951398,0.25,0.005005005005005005,0.05686507936507936,0.12,0.006006006006006006,0.026883962780514505,0.12,0.012012012012012012,0.020479158044569325,0.12612612612612611,0.10998842407203588,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R5,3,3_0_Renault_grandscenic_4372,sift,euclidean,999,0.006645100002060644,0.05,0.001001001001001001,0.016666666666666666,0.04,0.002002002002002002,0.007575757575757576,0.09,0.009009009009009009,0.009522969671594075,0.09309309309309309,0.09724913358304908,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R6,3,3_5_Renault_clio_5101,sift,euclidean,999,0.005708800003048964,0.2,0.004004004004004004,0.07928571428571429,0.16,0.008008008008008008,0.045651483781918564,0.15,0.015015015015015015,0.03504231631145229,0.12812812812812813,0.10828679093434317,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R7,5,5_0_Mercedes_ClasseCLS_7059,sift,euclidean,999,0.00576569999975618,0.0,0.0,0.0,0.04,0.002002002002002002,0.0014949494949494952,0.08,0.008008008008008008,0.004859624563729107,0.08108108108108109,0.09453466032315941,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R8,5,5_4_Mercedes_GLEcoupe_7428,sift,euclidean,999,0.005752500001108274,0.05,0.001001001001001001,0.003333333333333333,0.06,0.003003003003003003,0.003808080808080808,0.11,0.011011011011011011,0.00971922044288696,0.0960960960960961,0.10013293294666802,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R9,5,5_8_Mercedes_CLA_7992,sift,euclidean,999,0.006045699992682785,0.25,0.005005005005005005,0.05621083959899749,0.22,0.011011011011011011,0.05460573672553476,0.16,0.016016016016016016,0.03675695242303701,0.1041041041041041,0.10572047095525396,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R10,7,7_0_Peugeot_508break_9591,sift,euclidean,999,0.005875600007129833,0.0,0.0,0.0,0.04,0.002002002002002002,0.0017669172932330826,0.06,0.006006006006006006,0.0030517149773620056,0.062062062062062065,0.08393300406383672,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R11,7,7_3_Peugeot_Rifter_10091,sift,euclidean,999,0.005762600005255081,0.25,0.005005005005005005,0.09097985347985348,0.18,0.009009009009009009,0.0547439480809046,0.16,0.016016016016016016,0.03920991615433031,0.12612612612612611,0.10900219551707958,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R12,7,7_6_Peugeot_3008_10530,sift,euclidean,999,0.0061237000045366585,0.15,0.003003003003003003,0.025400641025641026,0.14,0.007007007007007007,0.022161595482470656,0.1,0.01001001001001001,0.015334731949797488,0.12112112112112113,0.1100473000276534,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R13,9,9_0_Audi_A6_12268,sift,euclidean,999,0.00586559998919256,0.0,0.0,0.0,0.02,0.001001001001001001,0.000425531914893617,0.09,0.009009009009009009,0.005613535468209443,0.1021021021021021,0.10078296445346592,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R14,9,9_3_Audi_Q7_12722,sift,euclidean,999,0.006066100002499297,0.0,0.0,0.0,0.12,0.006006006006006006,0.009762244897959184,0.15,0.015015015015015015,0.016253612834595567,0.13413413413413414,0.1165035385409737,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
R15,9,9_4_Audi_A1_12910,sift,euclidean,999,0.005906999998842366,0.05,0.001001001001001001,0.016666666666666666,0.1,0.005005005005005005,0.015916192111844286,0.13,0.013013013013013013,0.017910416334317877,0.09109109109109109,0.0983147178390961,0.0294034979038849,0.02155936111252176,0.01809448677675805,0.10316806179490172
