query,query_class,query_image,descriptor,metric,total_relevant,search_time_s,P@20,R@20,AP@20,P@50,R@50,AP@50,P@100,R@100,AP@100,R-Precision,AP_full,mAP@20,mAP@50,mAP@100,mAP_full
R1,1,1_4_Kia_stinger_1990,vit_b_16,cosine,999,0.021083900006487966,0.6,0.012012012012012012,0.4218040000934738,0.4,0.02002002002002002,0.2475340367795239,0.27,0.02702702702702703,0.1475543692798788,0.16116116116116116,0.1472960107699483,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R2,1,1_2_Kia_sorento_1675,vit_b_16,cosine,999,0.029522899989387952,0.2,0.004004004004004004,0.16999999999999998,0.12,0.006006006006006006,0.07406060606060605,0.09,0.009009009009009009,0.040221033868092684,0.1091091091091091,0.11202030509589829,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R3,1,1_9_Kia_stonic_2677,vit_b_16,cosine,999,0.02752009998948779,0.35,0.007007007007007007,0.13419311145510834,0.2,0.01001001001001001,0.06783069615882331,0.15,0.015015015015015015,0.04341989364199615,0.14814814814814814,0.12552250205031487,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R4,3,3_1_Renault_Twingo_4487,vit_b_16,cosine,999,0.020201699997414835,0.05,0.001001001001001001,0.0125,0.12,0.006006006006006006,0.01635011156854288,0.13,0.013013013013013013,0.016342814675616015,0.1781781781781782,0.14385440110507375,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R5,3,3_0_Renault_grandscenic_4372,vit_b_16,cosine,999,0.0204031000030227,0.25,0.005005005005005005,0.1176190476190476,0.26,0.013013013013013013,0.09569315973881193,0.24,0.024024024024024024,0.07768613306360311,0.16316316316316315,0.1383782515189673,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R6,3,3_5_Renault_clio_5101,vit_b_16,cosine,999,0.020457000005990267,0.3,0.006006006006006006,0.0743154761904762,0.2,0.01001001001001001,0.048860959216222376,0.17,0.01701701701701702,0.038888809212174476,0.1781781781781782,0.1496446335242414,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R7,5,5_0_Mercedes_ClasseCLS_7059,vit_b_16,cosine,999,0.022429500008001924,0.35,0.007007007007007007,0.20395833333333332,0.3,0.015015015015015015,0.1351752631285072,0.28,0.028028028028028028,0.10582734474662478,0.1881881881881882,0.15176080257075827,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R8,5,5_4_Mercedes_GLEcoupe_7428,vit_b_16,cosine,999,0.01986600000236649,0.4,0.008008008008008008,0.2087128879892038,0.26,0.013013013013013013,0.11031029128405778,0.2,0.02002002002002002,0.07093307640152748,0.13013013013013014,0.12719189191924102,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R9,5,5_8_Mercedes_CLA_7992,vit_b_16,cosine,999,0.022151700002723373,0.25,0.005005005005005005,0.10394917582417582,0.28,0.014014014014014014,0.09206653250732899,0.25,0.025025025025025027,0.07658623461807525,0.18618618618618618,0.1571914300293101,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R10,7,7_0_Peugeot_508break_9591,vit_b_16,cosine,999,0.019850700002280064,0.05,0.001001001001001001,0.004545454545454545,0.14,0.007007007007007007,0.014860751497183917,0.1,0.01001001001001001,0.011459563881180957,0.11211211211211211,0.09995617258733411,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R11,7,7_3_Peugeot_Rifter_10091,vit_b_16,cosine,999,0.0265679000003729,0.3,0.006006006006006006,0.12586309523809522,0.3,0.015015015015015015,0.10398604121387989,0.24,0.024024024024024024,0.07633138789569659,0.12012012012012012,0.10639982898000522,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R12,7,7_6_Peugeot_3008_10530,vit_b_16,cosine,999,0.01983999999356456,0.1,0.002002002002002002,0.08333333333333333,0.14,0.007007007007007007,0.0460516041877744,0.15,0.015015015015015015,0.035787658463957504,0.09309309309309309,0.09325141501344726,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R13,9,9_0_Audi_A6_12268,vit_b_16,cosine,999,0.020405000002938323,0.15,0.003003003003003003,0.1375,0.24,0.012012012012012012,0.09303981939154941,0.29,0.02902902902902903,0.09372461762963055,0.18618618618618618,0.156890665218823,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R14,9,9_3_Audi_Q7_12722,vit_b_16,cosine,999,0.020156800004770048,0.6,0.012012012012012012,0.47805418437771374,0.42,0.021021021021021023,0.2823212803098133,0.31,0.031031031031031032,0.17599487756975823,0.1831831831831832,0.1519480022992074,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
R15,9,9_4_Audi_A1_12910,vit_b_16,cosine,999,0.020429199998034164,0.1,0.002002002002002002,0.019166666666666665,0.08,0.004004004004004004,0.010805128205128205,0.17,0.01701701701701702,0.023152430006510696,0.12112112112112113,0.10593464880245407,0.1530343177777388,0.09592975208318358,0.06892734966362155,0.13114939743233495
